5 0,02 0,035410319148903156
5 0,021 0,049362269229931366
5 0,022 0,040360039672978215
5 0,023 0,03004160381567397
5 0,024 0,043096055941344046
5 0,025 0,03512452716731794
5 0,026 0,03073515876414298
5 0,027 0,04002067352210621
5 0,028 0,03671243619264809
5 0,029 0,0322338190283574
5 0,03 0,03546165078231581
6 0,02 0,03316603308703973
6 0,021 0,032067267110595904
6 0,022 0,03983825432517195
6 0,023 0,03656604263045303
6 0,024 0,0407378834496059
6 0,025 0,0776129124467361
6 0,026 0,031084024417772495
6 0,027 0,04197881318255768
6 0,028 0,04252959771110182
6 0,029 0,035956170969335996
6 0,03 0,03692835447836031
7 0,02 0,035919109805728135
7 0,021 0,04462555431682828
7 0,022 0,03468032614955872
7 0,023 0,03943282690901877
7 0,024 0,0385377229524005
7 0,025 0,03432729568769915
7 0,026 0,03698805855018548
7 0,027 0,03695639953786766
7 0,028 0,03794056409317125
7 0,029 0,040540715110280984
7 0,03 0,03792579858096675
8 0,02 0,0403918021332565
8 0,021 0,044385166855621924
8 0,022 0,03276616142184019
8 0,023 0,04081900338968006
8 0,024 0,03413314987056258
8 0,025 0,037179198780414945
8 0,026 0,045908456274715265
8 0,027 0,03334827949081469
8 0,028 0,03764416216284637
8 0,029 0,037751306915464015
8 0,03 0,034801420191127155
9 0,02 0,037751801762568565
9 0,021 0,03550223976557682
9 0,022 0,04673854126545266
9 0,023 0,03298761572471009
9 0,024 0,033641326137214135
9 0,025 0,03939746423832749
9 0,026 0,03665608663347375
9 0,027 0,03799630714957058
9 0,028 0,03457109488269444
9 0,029 0,04190319872738175
9 0,03 0,042178616385212
10 0,02 0,04533694840816404
10 0,021 0,04023800105613394
10 0,022 0,0418096988772112
10 0,023 0,038234417351330326
10 0,024 0,035405483138355114
10 0,025 0,036462099912208334
10 0,026 0,03933995159467437
10 0,027 0,03521001596278413
10 0,028 0,03992245556983891
10 0,029 0,03534358715250098
10 0,03 0,042872160378311486
11 0,02 0,03734148876189438
11 0,021 0,04191844820770023
11 0,022 0,040019025138983
11 0,023 0,03134872555620389
11 0,024 0,03492326913802329
11 0,025 0,04881668199607398
11 0,026 0,04118163773852768
11 0,027 0,03895455344220384
11 0,028 0,037131098119670455
11 0,029 0,043614520783106084
11 0,03 0,03923117554119601
12 0,02 0,035667058152243365
12 0,021 0,03735208408066425
12 0,022 0,042312077900450475
12 0,023 0,04274310548523022
12 0,024 0,036316948972440304
12 0,025 0,039327295121554404
12 0,026 0,039715733793750145
12 0,027 0,04278846748351999
12 0,028 0,034979180948076755
12 0,029 0,04060659925932465
12 0,03 0,04313034346482803
13 0,02 0,04171018978396361
13 0,021 0,036622813578321804
13 0,022 0,03602629170271842
13 0,023 0,035588361787317314
13 0,024 0,03852615641857579
13 0,025 0,03595055318878603
13 0,026 0,04732023540308161
13 0,027 0,03693956561513839
13 0,028 0,03832982112541409
13 0,029 0,05110519708975561
13 0,03 0,04691861409063087
14 0,02 0,03800675553732505
14 0,021 0,04133461416675074
14 0,022 0,04496738640680948
14 0,023 0,039512120987052576
14 0,024 0,03877053063756822
14 0,025 0,03227609485212996
14 0,026 0,0362510440945935
14 0,027 0,044223014581999814
14 0,028 0,03997102550388838
14 0,029 0,04058709525880668
14 0,03 0,039907378334230616
15 0,02 0,03782093307178519
15 0,021 0,033823553962619206
15 0,022 0,03579056060777906
15 0,023 0,037291970037913194
15 0,024 0,04392825489598422
15 0,025 0,04362766008752495
15 0,026 0,04883175125333631
15 0,027 0,04089532299193307
15 0,028 0,0544959427179494
15 0,029 0,04741335826943785
15 0,03 0,03941300372850722
