9 0,02 0,04230291816247585
9 0,021 0,047732317115456745
9 0,022 0,04698948809364792
9 0,023 0,04057579867402594
9 0,024 0,03459692380978583
9 0,025 0,03831117006471391
9 0,026 0,03331014071158644
9 0,027 0,0389196626405586
9 0,028 0,03566773485931046
9 0,029 0,03940087115868765
9 0,03 0,04381396400432653
10 0,02 0,044012503768824
10 0,021 0,050829658771389244
10 0,022 0,03754045598576162
10 0,023 0,0364066979089152
10 0,024 0,047855466464753596
10 0,025 0,03927724743666788
10 0,026 0,045043979532326105
10 0,027 0,0357546879329107
10 0,028 0,040893554016329166
10 0,029 0,04816617468228459
10 0,03 0,04419761030678754
11 0,02 0,0391736298349817
11 0,021 0,0495266669871775
11 0,022 0,051037037419264415
11 0,023 0,04943045856108348
11 0,024 0,04513919988516026
11 0,025 0,04628424807428798
11 0,026 0,04349134772165052
11 0,027 0,04662177772678619
11 0,028 0,049334559561510456
11 0,029 0,051192358951972175
11 0,03 0,037688203119580335
12 0,02 0,05316028977112781
12 0,021 0,04502728112045171
12 0,022 0,056379641229719876
12 0,023 0,04429576490852743
12 0,024 0,04647394109396857
12 0,025 0,033867725527088416
12 0,026 0,03748103651176039
12 0,027 0,04018869791453754
12 0,028 0,054578860926108815
12 0,029 0,0631109690599359
12 0,03 0,04353108917857312
13 0,02 0,03699884581974082
13 0,021 0,03438492390378977
13 0,022 0,047955091848563995
13 0,023 0,052336130355856866
13 0,024 0,04692393262790724
13 0,025 0,04736877165619207
13 0,026 0,04983556902262962
13 0,027 0,04311145400567316
13 0,028 0,05324336020477231
13 0,029 0,040612499129452626
13 0,03 0,04159225603110116
