9 0,02 0,0506136022257584
9 0,021 0,030720197548338823
9 0,022 0,03753818809577198
9 0,023 0,03766567225103236
9 0,024 0,03564354272059294
9 0,025 0,042952153206314084
9 0,026 0,03968753177607653
9 0,027 0,03267495732460316
9 0,028 0,03501534723154355
9 0,029 0,03970399938701156
9 0,03 0,04204734286781345
10 0,02 0,03771414700085806
10 0,021 0,04140470628223365
10 0,022 0,03516457721948585
10 0,023 0,04438382345837846
10 0,024 0,03591161351240833
10 0,025 0,04024081251693454
10 0,026 0,03215043935158662
10 0,027 0,043323192410928565
10 0,028 0,039697724679764984
10 0,029 0,03662783212332585
10 0,03 0,04319013574306269
11 0,02 0,032042201582956224
11 0,021 0,04043081732835216
11 0,022 0,0467668383501815
11 0,023 0,046598775112109476
11 0,024 0,04519209531279605
11 0,025 0,03433739108746448
11 0,026 0,035803271954779246
11 0,027 0,04403457513496587
11 0,028 0,040490228353954494
11 0,029 0,03690209228564328
11 0,03 0,040652634297929736
12 0,02 0,03712090380819332
12 0,021 0,034447689551269985
12 0,022 0,040284407405596814
12 0,023 0,049205589698390784
12 0,024 0,03374896199076363
12 0,025 0,04079273250523723
12 0,026 0,035574661036232226
12 0,027 0,044245229542402856
12 0,028 0,04372959510409131
12 0,029 0,0387835357169125
12 0,03 0,03859025620501922
13 0,02 0,041930831889746244
13 0,021 0,038654005402744614
13 0,022 0,03567877560155895
13 0,023 0,034084724517824044
13 0,024 0,04585980319484152
13 0,025 0,04613710670031843
13 0,026 0,03863963468372598
13 0,027 0,03457169561523712
13 0,028 0,04408271963920352
13 0,029 0,033253818857321336
13 0,03 0,03525769453337433
